X;ano;cbo_2002;grau_instrucao_apos_2005;id_municipio;sigla_uf;mulher;raca_cor;tempo_emprego;valor_remuneracao_dezembro;idade;idade2;graduacao;mestrado;doutorado;sp;log_Sal;SEXO_UF;homem_branco_sp;homem_preto_sp;mulher_branca_sp;mulher_preta_sp;homem_branco_mg;homem_preto_mg;mulher_branca_mg;mulher_preta_mg;Tempo_emprego2;Grau_instrucao;mestrado completo;mestrado_completo;graduacao_completa;grau_instrucao;capital
2442;2019;251205;9;3550308;SP;0;0;99,1;8497,73;38;1444;1;0;0;1;9,05;0 0 1;1;0;0;0;0;0;0;0;9820,81;1 0 0;0;0;1;0;1
2444;2019;251205;9;3550308;SP;0;0;162,9;25484,27;53;2809;1;0;0;1;10,15;0 0 1;1;0;0;0;0;0;0;0;26536,41;1 0 0;0;0;1;0;1
2445;2019;251205;9;3550308;SP;0;1;21,9;1752,73;25;625;1;0;0;1;7,47;0 1 1;0;1;0;0;0;0;0;0;479,61;1 0 0;0;0;1;0;1
2446;2019;251205;10;3550308;SP;0;1;180,5;8786,8;43;1849;0;1;0;1;9,08;0 1 1;0;1;0;0;0;0;0;0;32580,25;0 1 0;1;1;0;1;1
2447;2019;251205;9;3550308;SP;0;0;149,9;7706,07;42;1764;1;0;0;1;8,95;0 0 1;1;0;0;0;0;0;0;0;22470,01;1 0 0;0;0;1;0;1
2448;2019;251205;9;3550308;SP;1;0;146,9;4927,71;36;1296;1;0;0;1;8,50;1 0 1;0;0;1;0;0;0;0;0;21579,61;1 0 0;0;0;1;0;1
2449;2019;251205;9;3550308;SP;1;0;44,4;16511,71;29;841;1;0;0;1;9,71;1 0 1;0;0;1;0;0;0;0;0;1971,36;1 0 0;0;0;1;0;1
2451;2019;251205;9;3550308;SP;0;0;14,5;9101,52;34;1156;1;0;0;1;9,12;0 0 1;1;0;0;0;0;0;0;0;210,25;1 0 0;0;0;1;0;1
2452;2019;251205;9;3550308;SP;0;0;1,8;5955,16;32;1024;1;0;0;1;8,69;0 0 1;1;0;0;0;0;0;0;0;3,24;1 0 0;0;0;1;0;1
2453;2019;251205;9;3550308;SP;1;0;165,4;10742,41;35;1225;1;0;0;1;9,28;1 0 1;0;0;1;0;0;0;0;0;27357,16;1 0 0;0;0;1;0;1
2454;2019;251205;9;3550308;SP;1;0;19,5;6893,15;41;1681;1;0;0;1;8,84;1 0 1;0;0;1;0;0;0;0;0;380,25;1 0 0;0;0;1;0;1
2457;2019;251205;10;3550308;SP;0;0;31,5;8616,57;41;1681;0;1;0;1;9,06;0 0 1;1;0;0;0;0;0;0;0;992,25;0 1 0;1;1;0;1;1
2458;2019;251205;9;3550308;SP;0;0;78,6;6400,29;30;900;1;0;0;1;8,76;0 0 1;1;0;0;0;0;0;0;0;6177,96;1 0 0;0;0;1;0;1
2461;2019;251205;9;3551702;SP;0;0;223,7;5179,61;41;1681;1;0;0;1;8,55;0 0 1;1;0;0;0;0;0;0;0;50041,69;1 0 0;0;0;1;0;0
2462;2019;251205;9;3551702;SP;1;0;362,6;6303,22;50;2500;1;0;0;1;8,75;1 0 1;0;0;1;0;0;0;0;0;131478,76;1 0 0;0;0;1;0;0
2463;2019;251205;9;3551702;SP;0;0;211,7;4769,19;36;1296;1;0;0;1;8,47;0 0 1;1;0;0;0;0;0;0;0;44816,89;1 0 0;0;0;1;0;0
2464;2019;251205;9;3551702;SP;0;0;235,1;4982,81;53;2809;1;0;0;1;8,51;0 0 1;1;0;0;0;0;0;0;0;55272,01;1 0 0;0;0;1;0;0
2465;2019;251205;9;3551702;SP;0;0;8,9;7410,64;38;1444;1;0;0;1;8,91;0 0 1;1;0;0;0;0;0;0;0;79,21;1 0 0;0;0;1;0;0
2466;2019;251205;9;3551702;SP;1;0;142,6;8463,75;42;1764;1;0;0;1;9,04;1 0 1;0;0;1;0;0;0;0;0;20334,76;1 0 0;0;0;1;0;0
